Date,River Water,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Settle Water,Treated Water,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Turbidity(NTU),PH,TDS (mg/l),Chloride   (mg/L),Conductivity(mS/cm),Salinity (%),total hardness (mg/l),total alkalinity (mg/l), Turbidity (NTU),Turbidity(NTU),pH,TDS (mg/l),Chloride (mg/L),FRC (PPM),Conductivity(mS/cm),Salinity (%),total hardness (mg/l),total alkalinity (mg/l)
2025-01-01,121.6,8.18,227.8,45.4,451.4,0.22,,,42.9,3.7,7.9,223,43.66,0.8,441.33,0.22,,
2025-01-02,156,8.165,250.75,56,495.5,0.25,,,40.8,3.823,7.864,245.33,53.33,0.667,493.667,0.2433,,
2025-01-03,120.53333333333335,8.18,300,80.66666666666667,590,0.3,,,4.67,4.453333333333333,7.926666666666667,277.3333333333333,69.33333333333333,0.8000000000000002,547,0.27666666666666667,,
2025-01-04,159.5,8.115,288.75,80.25,593.5,0.2975,,,44,3.8866666666666667,7.876666666666666,312.6666666666667,89.33333333333333,0.7666666666666666,616.3333333333334,0.31,,
2025-01-05,156.66666666666666,8.143333333333334,299.6666666666667,77,591.3333333333334,0.3,,,39.9,3.59,7.8500000000000005,364.6666666666667,116.33333333333333,0.7666666666666666,715.3333333333334,0.3633333333333333,,
2025-01-06,143.06,8.15,322.6,92.2,635.8,0.32,160,148,35.5,3.9166666666666665,7.873333333333334,374,115.66666666666667,0.8000000000000002,736,0.36999999999999994,164,138
2025-01-07,140.75,8.149999999999999,300.75,81.75,593.25,0.3,,,34.1,4.156666666666666,7.859999999999999,364.6666666666667,112,0.6666666666666666,716,0.3633333333333333,,
2025-01-08,149.45999999999998,8.136,284,61.2,514,0.256,,,37.5,4.54,7.866666666666666,361.6666666666667,110.66666666666667,0.8333333333333334,711.3333333333334,0.36000000000000004,,
2025-01-09,85.75,8.1375,252.5,58.5,500.75,0.32,,,42.9,3.2533333333333334,7.833333333333333,344,102,0.8000000000000002,678,0.34,,
2025-01-10,77.97999999999999,8.111999999999998,237,48.8,528.4,0.236,,,42.6,4.7299999999999995,7.8149999999999995,321.75,95,0.825,635.75,0.3275,,
2025-01-11,79.5,8.186,227.8,45.2,450.6,0.22600000000000003,,,35.9,3.233333333333333,7.8500000000000005,297.6666666666667,82.33333333333333,0.8000000000000002,587,0.29333333333333333,,
2025-01-12,85.15,8.219999999999999,230.5,47,456.25,0.22749999999999998,,,35.7,4.296666666666667,7.94,275,69.66666666666667,0.7333333333333334,542.6666666666666,0.2733333333333334,,
2025-01-13,107.75999999999999,8.196,234.8,46.2,464.6,0.23399999999999999,,,37.1,4.42,7.866666666666667,256.6666666666667,60,0.8000000000000002,506.6666666666667,0.25666666666666665,,
2025-01-14,145.2,8.132,250.2,56,495.2,0.248,144,152,40.2,3.936666666666667,7.823333333333333,252.66666666666666,58.666666666666664,0.8000000000000002,499.6666666666667,0.25,150,146
2025-01-15,159,8.116666666666667,262.3333333333333,61,519.3333333333334,0.26,,,41.6,4.19,7.91,256,58.666666666666664,0.26666666666666666,506,0.25333333333333335,,
2025-01-16,139.4,8.105999999999998,318.8,90.2,627.6,0.31800000000000006,,,48.6,4.283333333333334,7.8999999999999995,270.3333333333333,66,0.8000000000000002,534.6666666666666,0.26666666666666666,,
2025-01-17,165.8,8.193999999999999,369.4,115,724.6,0.368,,,48.8,4.723333333333333,7.873333333333334,325,94.66666666666667,0.8000000000000002,640.3333333333334,0.3233333333333333,,
